productId,productName,productDescription,productPrice,productColor,productSize,productAvailability,productImage
1,Wilson Tennis Racquet,The Wilson Clash 26 racquet is ideal for young competitors,49.00,"Red, Grey, Black",1m40 and 1m49 ,20,1_wilson
2,Wilson Tennis Racquet ,The Wilson Blade Junior 26 Racquet is for Advanced players ,75.67,"Green, Grey, Black",1m45 and 1m50,20,2_wilson
3,Nike Band,"The Nike Premier Single Wide Wristbands help to keep sweat away, and make a colorful accessory to your tennis outfit.",28.00,Pink,Regular,7,3_nikeband
4,Adidas Sports Top,Black Adidas Sports Polo top New York Style,55.00,Black,"S,M,L,XL",20,4_adidas
5,Women Sports Dress,Sport Clothing Tennis Wear Women Gym Tight Flexible Clothes Tennis Skirt Fabric,65.39,Peach,"S,M,L,XL",20,5_tennistop
6,Tennis Shoes,Asecs sports shoes for all surfaces,78.12,,blue,10,6_asecs
7,Tennis Calender,Roger Federer 2020 Calander - with all the iconic pics of RF,16.00,Dark blue,12X8 inch,5,7_federercalender
8,Vibration Dampener,12pcs lots Tennis Racket Vibration Damper Absorber Smiles ,13.39,Yellow,Regular,10,8_vibrationabsorber
9,Shoulder Bag,Professional Large PU Tennis Bag for Rackets Badminton Shoulder Bag with Shoes Storage Sports Tennis Accessories,31.38,"Black, Red, Blue",Regular,12,9_tennisbag
10,Key Chain,Tennis racket monogram keyring,9.85,Silver,Regular,5,10_keychain
11,Tennis Balls for Kids,A set of 10 tennis balls for indoor couching for kids,22.00,Yellow,Regular,10,11_balls
12,Tennis Balls,Tennis balls speacially made for the US Open,47.78,Yellow,Regular,4,12_usopenballs
13,Tennis Bag,On Tour Tennis Bag Atlantic HR large for style and comfort,35.01,Cream,NA,7,13_stylebag
14,Tennis Kit,Kids tennis practice equipment,38.45,Colurful ,Kids,5,14_kidskit
15,Wimbledon Towels,Wimbledon Mens Guest Towels Set - Pack of 2 - Green & Purple,42.98,"Green, Purple",NA,6,15_wimbledontowels
16,Sports Top,Wimbledon casual guest tops,27.49,Black,Regular,4,16_wimtop
17,Poster,Rafael Nadal Poster during the French Open finals,18.00,Blue,20X20 Inch,8,17_nadalposter
18,AO Cap,Australian Open Signature Cap,30.99,Black,Regular,5,18_aocap
19,Tennis Kit,Mini Tennis Coaching Equipment_Pack,78.59,Colurful ,NA,5,19_tennis kits
20,Roger Federer Signature Mug,"Roger Federer Signature ""RF"" style coffee mug",24.45,Black,NA,5,20_rfmug
